"species","common_name","sci_name","phylo_name","Bmass","logBm","social_monogamy","nbrood","avgbrood","avgsire","pmult","pred_pmult","resid_pmult","mean.q","mean.nmates","taxa"
"Wild boar, Sus scrofa","Wild boar","Sus scrofa","Sus_scrofa",169000,5.228,"xmono",30,4.5,1.1,0.1,0.662756354,0.562756354,0.342206531,5.712443,"mammal"
"Wolverine, Gulo gulo","Wolverine","Gulo gulo","Gulo_gulo",12792.49,4.107,"xmono",43,2.1,1,0,0.447446101,0.447446101,0.578243463,3.557462558,"mammal"
"Wood mouse, Apodemus sylvaticus","Wood mouse","Apodemus sylvaticus","Apodemus_sylvaticus",21.9,1.34,"xmono",28,4.7,1.7,0.643,0.672515549,0.029515549,0.40651941,5.751594643,"mammal"
"Woodchuck, Marmota monax","Woodchuck","Marmota monax","Marmota_monax",3880.93,3.589,"xmono",26,3.5,1.8,0.631,0.627298889,-0.003701111,0.490105576,4.752542308,"mammal"
"Yellow ground squirrel, Spermophilus fulvus","Yellow ground squirrel","Spermophilus fulvus","Spermophilus_fulvus",856,2.932,"xmono",18,4.9,1.8,0.556,0.682767088,0.126767088,0.404410338,6.201035,"mammal"
"Yellow-necked field mouse, Apodemus flavicollis","Yellow-necked field mouse","Apodemus flavicollis","Apodemus_flavicollis",31.6,1.5,"xmono",35,5,1.5,0.514,0.687936463,0.173936463,0.349604193,6.087531143,"mammal"
"Acadian flycatcher, Empidonax virescens","Acadian flycatcher","Empidonax virescens","Empidonax_virescens",12.6,2.53369681395743,"mono",12,2.41666666666667,1.25,0.25,0.469462857254632,0.219462857254632,0.603180989085711,4.03148707692307,"bird"
"Acadian flycatcher, Empidonax virescens","Acadian flycatcher","Empidonax virescens","Empidonax_virescens",12.6,2.53369681395743,"mono",53,2.50943396226415,2.51612903225806,0.584905660377358,0.481333499434764,-0.103572160942594,0.603180989085711,4.03148707692307,"bird"
"American golden plover, Pluvialis dominica","American golden plover","Pluvialis dominica","Pluvialis_dominica",154,5.03695260241363,"mono",31,3.45161290322581,1.16129032258065,0.161290322580645,0.55993835502129,0.398648032440645,0.421494347919634,4.84084548387097,"bird"
"Apostlebird, Struthidea cinerea","Apostlebird","Struthidea cinerea","Struthidea_cinerea",132,4.88280192258637,"xmono",78,2.30232558139535,1.04285714285714,0.0428571428571429,0.45337929500573,0.410522152148587,0.496232102280615,3.87617059139785,"bird"
"Apostlebird, Struthidea cinerea","Apostlebird","Struthidea cinerea","Struthidea_cinerea",132,4.88280192258637,"xmono",15,2.73333333333333,1,0,0.506682866766222,0.506682866766222,0.496232102280615,3.87617059139785,"bird"
"Banded wren, Thryothorus pleurostictus","Banded wren","Thryothorus pleurostictus","Thryothorus_pleurostictus",17.7,2.87356463957978,"mono",50,3.12,1.1,0.1,0.534554271046432,0.434554271046432,0.45214846336916,4.4685744,"bird"
"Barn owl, Tyto alba","Barn owl","Tyto alba","Tyto_alba",423.9225,6.04955065550624,"mono",95,4.78947368421053,1.02105263157895,0.0210526315789474,0.638273484715206,0.617220853136258,0.32039536106809,5.96060231578947,"bird"
"Black coucal, Centropus grillii","Black coucal","Centropus grillii","Centropus_grillii",151,5.01727983681492,"xmono",35,3.62857142857143,1.4,0.371428571428571,0.572220511572582,0.200791940144011,0.424457830721302,5.09736428571428,"bird"
"Black grouse, Tetrao tetrix","Black grouse","Tetrao tetrix","Tetrao_tetrix",910,6.8134445995109,"xmono",130,7.08333333333333,1.04166666666667,0.0208333333333333,0.665559279468097,0.644725946134764,0.22176182068764,8.01217592307693,"bird"
